"","gender","v_m","mean_math","v_s","se","year","country"
"192","MALE",0.958855846739481,495.794164478989,9.56856071654469,3.25934075358164,"2015","CZECH REPUBLIC"
"193","FEMALE",1.10563656516512,506.374749691797,6.56872484189977,2.79014785693902,"2015","DENMARK"
"194","MALE",1.27294860512122,515.756468301291,5.03103891709248,2.53599731520477,"2015","DENMARK"
"195","FEMALE",2.01579221153104,329.745931372268,5.75494352751427,2.82352881341743,"2015","DOMINICAN REPUBLIC"
"196","MALE",3.03603661694176,325.586561283307,6.98165176451562,3.21267677228064,"2015","DOMINICAN REPUBLIC"
"197","FEMALE",1.55159209190388,516.872749383641,3.62554791425532,2.30917717279328,"2015","ESTONIA"
"198","MALE",1.48297823334316,522.080412569698,5.57687503702765,2.6848000100017,"2015","ESTONIA"
"199","FEMALE",1.96648702552803,514.964996458361,4.54061947572469,2.58916110039633,"2015","FINLAND"
"200","MALE",1.11071761014984,507.452840790692,5.58719888363823,2.60940381213852,"2015","FINLAND"
"201","FEMALE",1.08261391220796,489.954043602613,5.69908577203579,2.62487353513737,"2015","FRANCE"
"202","MALE",1.34486265425838,495.931688156605,7.0757102399026,2.92490327354373,"2015","FRANCE"
"203","FEMALE",0.751528763433762,374.73974458129,2.41253618789095,1.79978271679336,"2015","FYROM"
"204","MALE",1.48267235578361,368.237362535069,3.09829259192061,2.17467978867754,"2015","FYROM"
"205","FEMALE",0.918396060204688,410.596015662741,5.322529586794,2.5164986097789,"2015","GEORGIA"
"206","MALE",2.48997654047159,397.747792092675,12.6238649820774,3.91954578702637,"2015","GEORGIA"
"207","FEMALE",2.15495859110694,497.531079211752,6.59930025700981,2.99495487565797,"2015","GERMANY"
"208","MALE",4.01440911956244,514.117652407983,7.69498947990434,3.48006314762003,"2015","GERMANY"
"209","FEMALE",0.831024048185066,453.573222996651,12.1434255818094,3.61352349304844,"2015","GREECE"
"210","MALE",2.96427416271723,453.682054772531,18.6698010504193,4.68300145520031,"2015","GREECE"
"211","FEMALE",2.94436944971426,546.768210678821,14.8438151797731,4.25236658514512,"2015","HONG KONG"
"212","MALE",0.672190582004849,549.065845341461,12.0282735553676,3.57318949897328,"2015","HONG KONG"
"213","FEMALE",1.02156586931684,472.739508463872,8.07156798861664,3.032373731067,"2015","HUNGARY"
"214","MALE",2.63862097357885,480.905546081366,9.9365826537127,3.58316420564973,"2015","HUNGARY"
"215","FEMALE",1.38450694513739,488.586963728303,4.17987202076999,2.38805981089694,"2015","ICELAND"
"216","MALE",2.3430169876717,487.445648385884,5.67512355814407,2.87270643202241,"2015","ICELAND"
"217","FEMALE",2.45487879767799,387.44497531118,11.0171829494188,3.70372105143795,"2015","INDONESIA"
"218","MALE",1.3991265515337,384.779278817124,10.4703238602963,3.46545279393377,"2015","INDONESIA"
"219","FEMALE",0.976260608294998,495.444965996788,4.78226645378064,2.4199489917982,"2015","IRELAND"
"220","MALE",0.790739950551491,511.579656220434,7.89204842334976,2.96004431874869,"2015","IRELAND"
"221","FEMALE",2.2517231857284,465.516848751943,13.8500007610078,4.04065542521371,"2015","ISRAEL"
"222","MALE",2.8172654667477,473.990242108965,25.9636520953098,5.39097802896026,"2015","ISRAEL"
"223","FEMALE",1.28347646698181,479.823743363319,10.1570319161436,3.40130210799094,"2015","ITALY"
"224","MALE",1.39245128517007,499.762113087972,11.0055977153779,3.54080416417867,"2015","ITALY"
"225","FEMALE",1.73413752990786,525.495994782933,7.9646557969204,3.14200685546977,"2015","JAPAN"
"226","MALE",1.1150055355903,539.26725660302,13.5036263930022,3.83798547185259,"2015","JAPAN"
"227","FEMALE",2.98633652371761,387.377199782036,9.84377932881299,3.62336163043414,"2015","JORDAN"
"228","MALE",0.87402016587129,373.001316806752,15.0575765837457,4.0023741412072,"2015","JORDAN"
